RestaurantName,Health Score
Founding Farmers - Washington,95
The Pig,88
Old Ebbitt Grill,78
Maydan,100
Thip Khao,89
Ambar,63
The Fainting Goat,91
Chaplin’s,68
The Red Hen,96
Le Diplomate,97
Farmbird,93
Zaytinya,89
Rose’s Luxury,96
Tiger Fork,97
City Tap House,82
Reren,94
Daikaya Izakaya,66
Copycat Co,97
Purple Patch,87
The Alibi,95
Taqueria Habanero,84
Hot N Juicy Crawfish,88
Mandu,70
Filomena Ristorante,82
St. Anselm,93
Right Proper Brewing Company,77
Unconventional Diner,92
Tail Up Goat,79
Rasika,84
Boqueria Penn Quarter,89
Lavagna,91
The Dabney,97
Da Hong Pao,80
Floriana,81
Estadio,36
Mi Cuba Cafe,85
Federalist Pig,92
Bad Saint,79
Haikan,96
Al Volo,58
il Canale,74
Boqueria Restaurant - Dupont,81
DC Noodles,91
Ethiopic,91
Tortino Restaurant,76
Rooster & Owl,96
Little Sesame,73
Stable DC,96
Mazi,99
Roy Boys,79
Compass Rose,58
Maketto,84
Shouk,88
Keren Restaurant,85
Proper 21,84
Barcelona Wine Bar,84
Brookland’s Finest,97
Ivy City SmokeHouse,84
District Taco,90
Kinship,91
Cane,83
Pineapple & Pearls,95
Call Your Mother,93
Pisco y Nazca Ceviche Gastrobar,95
Bistrot Du Coin,90
The Haymaker Bar,85
Seven Reasons,98
Nazca Mochica,73
Del Mar,96
Busboys and Poets - 450K,88
JoJo Restaurant and Bar,90
La Betty,100
Ghibellina,81
Bistro Aracosia,74
Luke’s Lobster Penn Quarter,94
St. Arnold’s,78
Supra,81
Himitsu,95
Homestead,86
Agora,87
Granville Moore’s,78
Donburi,87
Indigo,89
Masseria,87
Shanghai Lounge,36
The Capital Burger,98
Coconut Club,89
Hawthorne,64
Dumplings & Beyond,87
Bombay Street Food,73
Bodega,90
Primrose,98
Ristorante La Perla of Washington,95
Bonchon - Navy Yard,86
Timber Pizza Company,91
Sakuramen,87
The Pub & The People,86
The Capital Grille,80
Chloe,98
China Chilcano,87
